metric,mean,std,min,max
rmse_sample,7.242498056427545e-08,2.3609006561980412e-08,5.197236402865227e-08,1.0917633384053258e-07
mae_sample,5.600531701266516e-08,1.6057260334602e-08,4.002211735925514e-08,7.90033173738293e-08
mape_sample,3.2247842861723397,1.1710297501060032,2.058264163668733,5.151538352070604
rmse_capacity,6.58323317651523e-08,2.4383539514178487e-08,3.860052367039472e-08,1.0149678943359978e-07
mae_capacity,5.240409231687103e-08,1.7586017331172626e-08,3.4239113995985987e-08,7.575579991054868e-08
mape_capacity,3.005964690907708,1.2809487249767815,1.831600471337615,5.106267245849977
