TIME,Addition_2.s_out.signal[1],SensorVoltage_1.v
0.0,0.0,0.0
0.0143059191,0.782172325,0.216838156
0.0286118383,1.54508497,0.57736425
0.0429177574,2.2699525,0.945807318
0.0572236766,2.93892626,1.29422772
0.0715295957,3.53553391,1.61127447
0.0858355149,4.04508497,1.88872336
0.100141434,4.45503262,2.1196764
0.114447353,4.75528258,2.29843486
0.128753272,4.9384417,2.42059961
0.143059191,5.0,2.48316024
0.157365111,4.9384417,2.48457741
0.17167103,4.75528258,2.42481631
0.185976949,4.45503262,2.30534809
0.200282868,4.04508497,2.12911415
0.214588787,3.53553391,1.90045489
0.228894706,2.93892626,1.62499932
0.243200626,2.2699525,1.30953087
0.257506545,1.54508497,0.961819002
0.271812464,0.782172325,0.590423181
0.286118383,6.12303177e-16,0.204489336
0.300424302,-0.782172325,-0.186480091
0.314730221,-1.54508497,-0.572858425
0.32903614,-2.2699525,-0.945131252
0.34334206,-2.93892626,-1.29413206
0.357647979,-3.53553391,-1.61126813
0.371953898,-4.04508497,-1.88872485
0.386259817,-4.45503262,-2.1196776
0.400565736,-4.75528258,-2.29843672
0.414871655,-4.9384417,-2.42060067
0.429177574,-5.0,-2.48316052
0.443483494,-4.9384417,-2.48458057
0.457789413,-4.75528258,-2.4248203
0.472095332,-4.45503262,-2.30534985
0.486401251,-4.04508497,-2.12911852
0.50070717,-3.53553391,-1.90045776
0.515013089,-2.93892626,-1.62500297
0.529319008,-2.2699525,-1.30953572
0.543624928,-1.54508497,-0.961820389
0.557930847,-0.782172325,-0.590424332
0.572236766,-1.89881747e-14,-0.204489948
0.586542685,0.782172325,0.186480229
0.600848604,1.54508497,0.572858467
0.615154523,2.2699525,0.945131051
0.629460443,2.93892626,1.29413176
0.643766362,3.53553391,1.61126413
0.658072281,4.04508497,1.88872422
0.6723782,4.45503262,2.11967772
0.686684119,4.75528258,2.29843879
0.700990038,4.9384417,2.42059965
0.715295957,5.0,2.48316222
0.729601877,4.9384417,2.48457742
0.743907796,4.75528258,2.42481744
0.758213715,4.45503262,2.30534756
0.772519634,4.04508497,2.12911475
0.786825553,3.53553391,1.90045475
0.801131472,2.93892626,1.62500127
0.815437391,2.2699525,1.30953294
0.829743311,1.54508497,0.961819482
0.84404923,0.782172325,0.590423059
0.858355149,4.62458305e-14,0.204488973
0.872661068,-0.782172325,-0.186480326
0.886966987,-1.54508497,-0.572858277
0.901272906,-2.2699525,-0.945131075
0.915578825,-2.93892626,-1.29413148
0.929884745,-3.53553391,-1.61126545
0.944190664,-4.04508497,-1.88872444
0.958496583,-4.45503262,-2.11967816
0.972802502,-4.75528258,-2.29843678
0.987108421,-4.9384417,-2.42060058
1.00141434,-5.0,-2.48316047
1.01572026,-4.9384417,-2.48457747
1.03002618,-4.75528258,-2.42481617
1.0443321,-4.45503262,-2.30534801
1.05863802,-4.04508497,-2.12911408
1.07294394,-3.53553391,-1.90045403
1.08724986,-2.93892626,-1.62499952
1.10155577,-2.2699525,-1.30953201
1.11586169,-1.54508497,-0.961819132
1.13016761,-0.782172325,-0.590423072
1.14447353,-6.46217021e-14,-0.204489306
1.15877945,0.782172325,0.186480298
1.17308537,1.54508497,0.572858326
1.18739129,2.2699525,0.945130226
1.20169721,2.93892626,1.2941301
1.21600313,3.53553391,1.61126407
1.23030905,4.04508497,1.88872351
1.24461497,4.45503262,2.11967594
1.25892089,4.75528258,2.29843479
1.2732268,4.9384417,2.42060023
1.28753272,5.0,2.48316058
1.30183864,4.9384417,2.48457764
1.31614456,4.75528258,2.42481635
1.33045048,4.45503262,2.30534773
1.3447564,4.04508497,2.12911387
1.35906232,3.53553391,1.90045488
1.37336824,2.93892626,1.62499938
1.38767416,2.2699525,1.30953404
1.40198008,1.54508497,0.961820281
1.416286,0.782172325,0.590423924
1.43059191,9.18793579e-14,0.204489346
1.44489783,-0.782172325,-0.186480327
1.45920375,-1.54508497,-0.572858343
1.47350967,-2.2699525,-0.945130582
1.48781559,-2.93892626,-1.29413047
1.50212151,-3.53553391,-1.61126385
1.51642743,-4.04508497,-1.88872447
1.53073335,-4.45503262,-2.11967737
1.54503927,-4.75528258,-2.29843618
1.55934519,-4.9384417,-2.42060107
1.57365111,-5.0,-2.48315933
1.58795703,-4.9384417,-2.48458101
1.60226294,-4.75528258,-2.42482031
1.61656886,-4.45503262,-2.30535084
1.63087478,-4.04508497,-2.12911485
1.6451807,-3.53553391,-1.90045463
1.65948662,-2.93892626,-1.62500059
1.67379254,-2.2699525,-1.30953428
1.68809846,-1.54508497,-0.961821223
1.70240438,-0.782172325,-0.590424604
1.7167103,-1.10255229e-13,-0.204489926
1.73101622,0.782172325,0.186480374
1.74532214,1.54508497,0.572858234
1.75962806,2.2699525,0.945130086
1.77393397,2.93892626,1.29413079
1.78823989,3.53553391,1.61126517
1.80254581,4.04508497,1.88872425
1.81685173,4.45503262,2.11967751
1.83115765,4.75528258,2.29843522
1.84546357,4.9384417,2.42059935
1.85976949,5.0,2.4831603
1.87407541,4.9384417,2.48457774
1.88838133,4.75528258,2.42481632
1.90268725,4.45503262,2.30534789
1.91699317,4.04508497,2.12911401
1.93129909,3.53553391,1.90045594
1.945605,2.93892626,1.62500176
1.95991092,2.2699525,1.30953394
1.97421684,1.54508497,0.961819581
1.98852276,0.782172325,0.590423454
2.00282868,1.28631101e-13,0.20448902
2.0171346,-0.782172325,-0.186480603
2.03144052,-1.54508497,-0.572858084
2.04574644,-2.2699525,-0.945129053
2.06005236,-2.93892626,-1.29413103
2.07435828,-3.53553391,-1.61126488
2.0886642,-4.04508497,-1.88872425
2.10297011,-4.45503262,-2.11967775
2.11727603,-4.75528258,-2.29843866
2.13158195,-4.9384417,-2.42060008
2.14588787,-5.0,-2.48316061
2.16019379,-4.9384417,-2.48457756
2.17449971,-4.75528258,-2.42481641
2.18880563,-4.45503262,-2.30534791
2.20311155,-4.04508497,-2.12911443
2.21741747,-3.53553391,-1.90045556
2.23172339,-2.93892626,-1.62500013
2.24602931,-2.2699525,-1.30953336
2.26033523,-1.54508497,-0.961820895
2.27464114,-0.782172325,-0.590423862
2.28894706,-1.47006973e-13,-0.204490061
2.30325298,0.782172325,0.186480237
2.3175589,1.54508497,0.572858449
