TIME,Addition_2.s_out.signal[1],SensorVoltage_1.v
0.0,0.0,0.0
0.000261903938,0.782172325,0.00676349027
0.000523807876,1.54508497,0.0265772659
0.000785711815,2.2699525,0.0584998567
0.00104761575,2.93892626,0.101307209
0.00130951969,3.53553391,0.153522251
0.00157142363,4.04508497,0.213450825
0.00183332757,4.45503262,0.279222856
0.00209523151,4.75528258,0.34883803
0.00235713544,4.9384417,0.420214271
0.00261903938,5.0,0.491238814
0.00288094332,4.9384417,0.559820094
0.00314284726,4.75528258,0.623938459
0.0034047512,4.45503262,0.681693906
0.00366665513,4.04508497,0.731356585
0.00392855907,3.53553391,0.77140446
0.00419046301,2.93892626,0.800564109
0.00445236695,2.2699525,0.817838598
0.00471427089,1.54508497,0.82253438
0.00497617483,0.782172325,0.814276427
0.00523807876,5.05319528e-15,0.79301759
0.0054999827,-0.782172325,0.75903942
0.00576188664,-1.54508497,0.712944882
0.00602379058,-2.2699525,0.655643509
0.00628569452,-2.93892626,0.588328334
0.00654759845,-3.53553391,0.512446446
0.00680950239,-4.04508497,0.429663278
0.00707140633,-4.45503262,0.341820917
0.00733331027,-4.75528258,0.250892925
0.00759521421,-4.9384417,0.158935506
0.00785711815,-5.0,0.0680368624
0.00811902208,-4.9384417,-0.0197371542
0.00838092602,-4.75528258,-0.102389037
0.00864282996,-4.45503262,-0.178042678
0.0089047339,-4.04508497,-0.244989123
0.00916663784,-3.53553391,-0.301727862
0.00942854178,-2.93892626,-0.347005273
0.00969044571,-2.2699525,-0.379844927
0.00995234965,-1.54508497,-0.399571674
0.0102142536,-0.782172325,-0.405828887
0.0104761575,-2.34290668e-14,-0.398587092
0.0107380615,0.782172325,-0.378144925
0.0109999654,1.54508497,-0.345121907
0.0112618693,2.2699525,-0.300443405
0.0115237733,2.93892626,-0.245317918
0.0117856772,3.53553391,-0.181207325
0.0120475812,4.04508497,-0.109791533
0.0123094851,4.45503262,-0.0329260739
0.012571389,4.75528258,0.0474006459
0.012833293,4.9384417,0.129121001
0.0130951969,5.0,0.210135278
0.0133571008,4.9384417,0.288363311
0.0136190048,4.75528258,0.36179667
0.0138809087,4.45503262,0.428547974
0.0141428127,4.04508497,0.486897573
0.0144047166,3.53553391,0.53533519
0.0146666205,2.93892626,0.572595802
0.0149285245,2.2699525,0.597693629
0.0151904284,1.54508497,0.609944283
0.0154523324,0.782172325,0.608981894
0.0157142363,3.73640463e-14,0.594768322
0.0159761402,-0.782172325,0.567593633
0.0162380442,-1.54508497,0.528069093
0.0164999481,-2.2699525,0.477112758
0.016761852,-2.93892626,0.41592542
0.017023756,-3.53553391,0.345960752
0.0172856599,-4.04508497,0.268890772
0.0175475639,-4.45503262,0.186565729
0.0178094678,-4.75528258,0.100965792
0.0180713717,-4.9384417,0.0141533551
0.0183332757,-5.0,-0.0717779407
0.0185951796,-4.9384417,-0.154753759
0.0188570836,-4.75528258,-0.232772323
0.0191189875,-4.45503262,-0.303951531
0.0193808914,-4.04508497,-0.366577295
0.0196427954,-3.53553391,-0.41914394
0.0199046993,-2.93892626,-0.460392529
0.0201666032,-2.2699525,-0.489341728
0.0204285072,-1.54508497,-0.505310825
0.0206904111,-0.782172325,-0.507939314
0.0209523151,-5.57399179e-14,-0.497194059
0.021214219,0.782172325,-0.473368863
0.0214761229,1.54508497,-0.437077853
0.0217380269,2.2699525,-0.389243473
0.0219999308,2.93892626,-0.331070585
0.0222618347,3.53553391,-0.264017283
0.0225237387,4.04508497,-0.189759724
0.0227856426,4.45503262,-0.110150457
0.0230475466,4.75528258,-0.0271731183
