TIME,Addition_2.s_out.signal[1],SensorVoltage_1.v
0.0,0.0,0.0
0.0124425589,0.782172325,0.200546333
0.0248851178,1.54508497,0.55104822
0.0373276767,2.2699525,0.917470413
0.0497702356,2.93892626,1.26691219
0.0622127946,3.53553391,1.58623594
0.0746553535,4.04508497,1.86668596
0.0870979124,4.45503262,2.1012175
0.0995404713,4.75528258,2.28401839
0.11198303,4.9384417,2.4105814
0.124425589,5.0,2.47778563
0.136868148,4.9384417,2.4839804
0.149310707,4.75528258,2.42901223
0.161753266,4.45503262,2.31423227
0.174195825,4.04508497,2.14246854
0.186638384,3.53553391,1.9179495
0.199080943,2.93892626,1.64620516
0.211523501,2.2699525,1.33392463
0.22396606,1.54508497,0.988797858
0.236408619,0.782172325,0.619325751
0.248851178,7.273641320000001e-15,0.234603706
0.261293737,-0.782172325,-0.155895654
0.273736296,-1.54508497,-0.542557085
0.286178855,-2.2699525,-0.915858852
0.298621414,-2.93892626,-1.26660877
0.311063973,-3.53553391,-1.58617005
0.323506532,-4.04508497,-1.86667506
0.335949091,-4.45503262,-2.10121723
0.34839165,-4.75528258,-2.28401914
0.360834208,-4.9384417,-2.41058188
0.373276767,-5.0,-2.47778802
0.385719326,-4.9384417,-2.48398175
0.398161885,-4.75528258,-2.42901216
0.410604444,-4.45503262,-2.31423218
0.423047003,-4.04508497,-2.14246846
0.435489562,-3.53553391,-1.91795022
0.447932121,-2.93892626,-1.64620488
0.46037468,-2.2699525,-1.33392536
0.472817239,-1.54508497,-0.988799566
0.485259798,-0.782172325,-0.619326631
0.497702356,1.6538962e-14,-0.23460348
0.510144915,0.782172325,0.155895953
0.522587474,1.54508497,0.54255684
0.535030033,2.2699525,0.915858296
0.547472592,2.93892626,1.26660826
0.559915151,3.53553391,1.58617033
0.57235771,4.04508497,1.86667529
0.584800269,4.45503262,2.10121697
0.597242828,4.75528258,2.28401899
0.609685387,4.9384417,2.41058244
0.622127946,5.0,2.47778727
0.634570504,4.9384417,2.48398205
0.647013063,4.75528258,2.42901229
0.659455622,4.45503262,2.31423397
0.671898181,4.04508497,2.14247062
0.68434074,3.53553391,1.91795192
0.696783299,2.93892626,1.64620684
0.709225858,2.2699525,1.33392546
0.721668417,1.54508497,0.988800246
0.734110976,0.782172325,0.619327891
0.746553535,-3.36902273e-14,0.23460488
0.758996094,-0.782172325,-0.155895429
0.771438652,-1.54508497,-0.542557028
0.783881211,-2.2699525,-0.915858655
0.79632377,-2.93892626,-1.26660826
0.808766329,-3.53553391,-1.58616999
0.821208888,-4.04508497,-1.86667591
0.833651447,-4.45503262,-2.10121765
0.846094006,-4.75528258,-2.28402046
0.858536565,-4.9384417,-2.41058097
0.870979124,-5.0,-2.47778886
0.883421683,-4.9384417,-2.48398158
0.895864242,-4.75528258,-2.42901819
0.9083068,-4.45503262,-2.31423796
0.920749359,-4.04508497,-2.1424771
0.933191918,-3.53553391,-1.91795234
0.945634477,-2.93892626,-1.64620521
0.958077036,-2.2699525,-1.33392519
0.970519595,-1.54508497,-0.988799201
0.982962154,-0.782172325,-0.619326679
0.995404713,5.97232767e-14,-0.234604035
1.00784727,0.782172325,0.155895365
1.02028983,1.54508497,0.542556785
1.03273239,2.2699525,0.915859175
1.04517495,2.93892626,1.26660942
1.05761751,3.53553391,1.58617037
1.07006007,4.04508497,1.86667538
1.08250263,4.45503262,2.10121665
1.09494518,4.75528258,2.28401904
1.10738774,4.9384417,2.41058127
1.1198303,5.0,2.47778758
1.13227286,4.9384417,2.48398188
1.14471542,4.75528258,2.42901199
1.15715798,4.45503262,2.31423228
1.16960054,4.04508497,2.14246858
1.1820431,3.53553391,1.91795
1.19448566,2.93892626,1.64620467
1.20692821,2.2699525,1.33392413
1.21937077,1.54508497,0.988799185
1.23181333,0.782172325,0.619326648
1.24425589,-7.68745419e-14,0.234604232
1.25669845,-0.782172325,-0.155895572
1.26914101,-1.54508497,-0.542556693
1.28158357,-2.2699525,-0.915858662
1.29402613,-2.93892626,-1.26660833
1.30646869,-3.53553391,-1.58617035
1.31891124,-4.04508497,-1.86667504
1.3313538,-4.45503262,-2.10121641
1.34379636,-4.75528258,-2.28401889
1.35623892,-4.9384417,-2.41058123
1.36868148,-5.0,-2.47778741
1.38112404,-4.9384417,-2.48398155
1.3935666,-4.75528258,-2.42901226
1.40600916,-4.45503262,-2.31423241
1.41845172,-4.04508497,-2.14246858
1.43089427,-3.53553391,-1.91795009
1.44333683,-2.93892626,-1.64620491
1.45577939,-2.2699525,-1.33392528
1.46822195,-1.54508497,-0.988801741
1.48066451,-0.782172325,-0.619328605
1.49310707,1.02907591e-13,-0.234604953
1.50554963,0.782172325,0.155895376
1.51799219,1.54508497,0.542556772
1.53043475,2.2699525,0.915858126
1.5428773,2.93892626,1.26660813
1.55531986,3.53553391,1.58617003
1.56776242,4.04508497,1.86667566
1.58020498,4.45503262,2.10121659
1.59264754,4.75528258,2.28401891
1.6050901,4.9384417,2.41058161
1.61753266,5.0,2.47778775
1.62997522,4.9384417,2.48398148
1.64241778,4.75528258,2.42901206
1.65486034,4.45503262,2.31423216
1.66730289,4.04508497,2.14246828
1.67974545,3.53553391,1.91794993
1.69218801,2.93892626,1.64620526
1.70463057,2.2699525,1.33392516
1.71707313,1.54508497,0.988800313
1.72951569,0.782172325,0.619326731
1.74195825,-1.20058857e-13,0.234604254
1.75440081,-0.782172325,-0.155895385
1.76684337,-1.54508497,-0.542557084
1.77928592,-2.2699525,-0.915858545
1.79172848,-2.93892626,-1.26660806
1.80417104,-3.53553391,-1.58617
1.8166136,-4.04508497,-1.86667513
1.82905616,-4.45503262,-2.10121739
1.84149872,-4.75528258,-2.28402
1.85394128,-4.9384417,-2.41058199
1.86638384,-5.0,-2.47778712
1.8788264,-4.9384417,-2.48398206
1.89126895,-4.75528258,-2.42901262
1.90371151,-4.45503262,-2.314232
1.91615407,-4.04508497,-2.14246778
1.92859663,-3.53553391,-1.91794953
1.94103919,-2.93892626,-1.64620502
1.95348175,-2.2699525,-1.33392591
1.96592431,-1.54508497,-0.988800862
1.97836687,-0.782172325,-0.619328184
1.99080943,1.37210122e-13,-0.234604546
2.00325198,0.782172325,0.155895373
2.01569454,1.54508497,0.542556888
2.0281371,2.2699525,0.915858241
2.04057966,2.93892626,1.26660854
2.05302222,3.53553391,1.58617008
2.06546478,4.04508497,1.86667617
2.07790734,4.45503262,2.10121849
2.0903499,4.75528258,2.28401926
2.10279246,4.9384417,2.4105814
2.11523501,5.0,2.47778706
2.12767757,4.9384417,2.48398201
2.14012013,4.75528258,2.4290122
2.15256269,4.45503262,2.31423239
2.16500525,4.04508497,2.14246855
2.17744781,3.53553391,1.91794987
2.18989037,2.93892626,1.64620498
2.20233293,2.2699525,1.33392445
2.21477549,1.54508497,0.988798139
2.22721805,0.782172325,0.619326353
2.2396606,9.43285706e-14,0.234603831
2.25210316,-0.782172325,-0.155895847
2.26454572,-1.54508497,-0.542556778
2.27698828,-2.2699525,-0.915858062
2.28943084,-2.93892626,-1.26660802
2.3018734,-3.53553391,-1.58616992
2.31431596,-4.04508497,-1.86667505
2.32675852,-4.45503262,-2.10121655
2.33920108,-4.75528258,-2.28401889
2.35164363,-4.9384417,-2.41058142
2.36408619,-5.0,-2.47778691
2.37652875,-4.9384417,-2.48398095
2.38897131,-4.75528258,-2.42901174
2.40141387,-4.45503262,-2.31423229
2.41385643,-4.04508497,-2.14246849
2.42629899,-3.53553391,-1.91794992
