TIME,Addition_2.s_out.signal[1],SensorVoltage_1.v
0.0,0.0,0.0
0.0314014572,0.782172325,0.227648563
0.0628029144,1.54508497,0.593644237
0.0942043716,2.2699525,0.962768439
0.125605829,2.93892626,1.31037352
0.157007286,3.53553391,1.62597404
0.188408743,4.04508497,1.90157757
0.2198102,4.45503262,2.13036138
0.251211658,4.75528258,2.30668895
0.282613115,4.9384417,2.42621711
0.314014572,5.0,2.48600546
0.345416029,4.9384417,2.48457846
0.376817487,4.75528258,2.42197613
0.408218944,4.45503262,2.29973493
0.439620401,4.04508497,2.12086331
0.471021858,3.53553391,1.88977064
0.502423315,2.93892626,1.61214693
0.533824773,2.2699525,1.29482674
0.56522623,1.54508497,0.945624349
0.596627687,0.782172325,0.573137483
0.628029144,-8.269481020000001e-15,0.186536516
0.659430601,-0.782172325,-0.204656992
0.690832059,-1.54508497,-0.590811063
0.722233516,-2.2699525,-0.962417472
0.753634973,-2.93892626,-1.31032554
0.78503643,-3.53553391,-1.62596976
0.816437887,-4.04508497,-1.90157602
0.847839345,-4.45503262,-2.13035917
0.879240802,-4.75528258,-2.30668682
0.910642259,-4.9384417,-2.42621583
0.942043716,-5.0,-2.48600334
0.973445173,-4.9384417,-2.4845772
1.00484663,-4.75528258,-2.4219725
1.03624809,-4.45503262,-2.29973086
1.06764955,-4.04508497,-2.12086201
1.099051,-3.53553391,-1.88977066
1.13045246,-2.93892626,-1.61214675
1.16185392,-2.2699525,-1.2948265
1.19325537,-1.54508497,-0.945622896
1.22465683,-0.782172325,-0.57313649
1.25605829,2.09798541e-14,-0.186536489
1.28745975,0.782172325,0.204656878
1.3188612,1.54508497,0.590811352
1.35026266,2.2699525,0.962417444
1.38166412,2.93892626,1.31032527
1.41306557,3.53553391,1.62596895
1.44446703,4.04508497,1.9015757
1.47586849,4.45503262,2.13035953
1.50726995,4.75528258,2.30668684
1.5386714,4.9384417,2.42621583
1.57007286,5.0,2.48600335
1.60147432,4.9384417,2.48458012
1.63287577,4.75528258,2.42197356
1.66427723,4.45503262,2.2997297
1.69567869,4.04508497,2.12086299
1.72708015,3.53553391,1.88977177
1.7584816,2.93892626,1.61214583
1.78988306,2.2699525,1.29482782
1.82128452,1.54508497,0.945623625
1.85268598,0.782172325,0.573136362
1.88408743,-3.36902273e-14,0.186536514
1.91548889,-0.782172325,-0.204656933
1.94689035,-1.54508497,-0.590811155
1.9782918,-2.2699525,-0.962416872
2.00969326,-2.93892626,-1.31032501
2.04109472,-3.53553391,-1.6259686
2.07249618,-4.04508497,-1.90157542
2.10389763,-4.45503262,-2.13035955
2.13529909,-4.75528258,-2.30668683
2.16670055,-4.9384417,-2.42621591
2.198102,-5.0,-2.48600339
2.22950346,-4.9384417,-2.48457684
2.26090492,-4.75528258,-2.42197238
2.29230638,-4.45503262,-2.29973082
2.32370783,-4.04508497,-2.12086206
2.35510929,-3.53553391,-1.88977183
2.38651075,-2.93892626,-1.61214819
2.41791221,-2.2699525,-1.29482763
2.44931366,-1.54508497,-0.945625174
2.48071512,-0.782172325,-0.573137177
2.51211658,-4.68581337e-14,-0.186536629
2.54351803,0.782172325,0.204657105
2.57491949,1.54508497,0.590811109
2.60632095,2.2699525,0.962417588
2.63772241,2.93892626,1.31032555
2.66912386,3.53553391,1.62596887
2.70052532,4.04508497,1.9015769
2.73192678,4.45503262,2.13035935
2.76332823,4.75528258,2.30668913
2.79472969,4.9384417,2.42621942
2.82613115,5.0,2.48600204
2.85753261,4.9384417,2.48457921
2.88893406,4.75528258,2.42197364
2.92033552,4.45503262,2.2997342
2.95173698,4.04508497,2.12086467
2.98313843,3.53553391,1.8897724
3.01453989,2.93892626,1.61214807
3.04594135,2.2699525,1.294828
3.07734281,1.54508497,0.945624562
3.10874426,0.782172325,0.573136291
3.14014572,1.45170063e-13,0.186536602
3.17154718,-0.782172325,-0.20465698
3.20294864,-1.54508497,-0.590811249
3.23435009,-2.2699525,-0.962417029
3.26575155,-2.93892626,-1.31032589
3.29715301,-3.53553391,-1.62596995
3.32855446,-4.04508497,-1.9015765
3.35995592,-4.45503262,-2.13036141
3.39135738,-4.75528258,-2.3066849
3.42275884,-4.9384417,-2.42621668
3.45416029,-5.0,-2.48600364
3.48556175,-4.9384417,-2.48457573
3.51696321,-4.75528258,-2.42197213
3.54836466,-4.45503262,-2.29973218
3.57976612,-4.04508497,-2.1208627
3.61116758,-3.53553391,-1.88977034
3.64256904,-2.93892626,-1.61214816
3.67397049,-2.2699525,-1.29482784
3.70537195,-1.54508497,-0.945624702
3.73677341,-0.782172325,-0.573136978
3.76817487,-2.34600208e-13,-0.186536272
3.79957632,0.782172325,0.204657082
3.83097778,1.54508497,0.590811438
3.86237924,2.2699525,0.96241775
3.89378069,2.93892626,1.31032618
3.92518215,3.53553391,1.62597005
3.95658361,4.04508497,1.901576
3.98798507,4.45503262,2.13035953
4.01938652,4.75528258,2.30668681
4.05078798,4.9384417,2.42621601
4.08218944,5.0,2.48600338
4.11359089,4.9384417,2.48457737
4.14499235,4.75528258,2.42197261
4.17639381,4.45503262,2.29973071
4.20779527,4.04508497,2.12086212
4.23919672,3.53553391,1.88977038
4.27059818,2.93892626,1.61214688
4.30199964,2.2699525,1.29482667
4.33340109,1.54508497,0.945624115
4.36480255,0.782172325,0.573137515
4.39620401,3.24030353e-13,0.186536553
4.42760547,-0.782172325,-0.204656746
4.45900692,-1.54508497,-0.590811314
4.49040838,-2.2699525,-0.962417306
4.52180984,-2.93892626,-1.31032565
4.5532113,-3.53553391,-1.62597016
4.58461275,-4.04508497,-1.90157699
4.61601421,-4.45503262,-2.13036021
4.64741567,-4.75528258,-2.3066869
4.67881712,-4.9384417,-2.42621597
4.71021858,-5.0,-2.4860035
4.74162004,-4.9384417,-2.48457741
4.7730215,-4.75528258,-2.4219725
4.80442295,-4.45503262,-2.29973072
4.83582441,-4.04508497,-2.12086211
4.86722587,-3.53553391,-1.88977039
4.89862732,-2.93892626,-1.61214606
4.93002878,-2.2699525,-1.29482659
4.96143024,-1.54508497,-0.945623472
4.9928317,-0.782172325,-0.573135787
5.02423315,-4.31224067e-13,-0.186536124
5.05563461,0.782172325,0.204657055
5.08703607,1.54508497,0.590811447
5.11843753,2.2699525,0.962417537
