TIME,Addition_2.s_out.signal[1],SensorVoltage_1.v
0.0,0.0,0.0
0.00814875417,0.782172325,0.0895162068
0.0162975083,1.54508497,0.303563215
0.0244462625,2.2699525,0.583744733
0.0325950167,2.93892626,0.892319791
0.0407437709,3.53553391,1.20376857
0.048892525,4.04508497,1.49999998
0.0570412792,4.45503262,1.76767611
0.0651900334,4.75528258,1.99669064
0.0733387876,4.9384417,2.17936825
0.0814875417,5.0,2.31002593
0.0896362959,4.9384417,2.38475625
0.0977850501,4.75528258,2.40132008
0.105933804,4.45503262,2.35907659
0.114082558,4.04508497,2.25893251
0.122231313,3.53553391,2.10327424
0.130380067,2.93892626,1.89588948
0.138528821,2.2699525,1.64185817
0.146677575,1.54508497,1.3474197
0.154826329,0.782172325,1.01981411
0.162975083,7.273641320000001e-15,0.667105191
0.171123838,-0.782172325,0.297976919
0.179272592,-1.54508497,-0.0784868041
0.187421346,-2.2699525,-0.453015999
0.1955701,-2.93892626,-0.816391566
0.203718854,-3.53553391,-1.15966457
0.211867609,-4.04508497,-1.47438236
0.220016363,-4.45503262,-1.75279594
0.228165117,-4.75528258,-1.98804901
0.236313871,-4.9384417,-2.17435153
0.244462625,-5.0,-2.30711307
0.252611379,-4.9384417,-2.38306471
0.260760134,-4.75528258,-2.40033774
0.268908888,-4.45503262,-2.35850647
0.277057642,-4.04508497,-2.25860102
0.285206396,-3.53553391,-2.10308169
0.29335515,-2.93892626,-1.89578019
0.301503904,-2.2699525,-1.64179673
0.309652659,-1.54508497,-1.34738541
0.317801413,-0.782172325,-1.01979801
0.325950167,-5.6654984500000005e-15,-0.667099564
0.334098921,0.782172325,-0.297974585
0.342247675,1.54508497,0.0784881601
0.350396429,2.2699525,0.453018443
0.358545184,2.93892626,0.816393645
0.366693938,3.53553391,1.1596678
0.374842692,4.04508497,1.47438964
0.382991446,4.45503262,1.75280016
0.3911402,4.75528258,1.98805455
0.399288954,4.9384417,2.17434676
0.407437709,5.0,2.30711166
0.415586463,4.9384417,2.38306405
0.423735217,4.75528258,2.40033699
0.431883971,4.45503262,2.35850668
0.440032725,4.04508497,2.25860127
0.44818148,3.53553391,2.10308156
0.456330234,2.93892626,1.89577738
0.464478988,2.2699525,1.64179255
0.472627742,1.54508497,1.34738217
0.480776496,0.782172325,1.01979428
0.48892525,-2.48084431e-14,0.667095901
0.497074005,-0.782172325,0.297970994
0.505222759,-1.54508497,-0.0784906668
0.513371513,-2.2699525,-0.453020108
0.521520267,-2.93892626,-0.816394872
0.529669021,-3.53553391,-1.1596664
0.537817775,-4.04508497,-1.47438292
0.54596653,-4.45503262,-1.75279585
0.554115284,-4.75528258,-1.98804882
0.562264038,-4.9384417,-2.17434964
0.570412792,-5.0,-2.30711099
0.578561546,-4.9384417,-2.38306375
0.5867103,-4.75528258,-2.40034217
0.594859055,-4.45503262,-2.35851372
0.603007809,-4.04508497,-2.25860802
0.611156563,-3.53553391,-2.10308741
0.619305317,-2.93892626,-1.89578063
0.627454071,-2.2699525,-1.64179451
0.635602826,-1.54508497,-1.34738291
0.64375158,-0.782172325,-1.01979469
0.651900334,5.08414925e-14,-0.667096004
0.660049088,0.782172325,-0.297970999
0.668197842,1.54508497,0.0784905283
0.676346596,2.2699525,0.45301939
0.684495351,2.93892626,0.816394114
0.692644105,3.53553391,1.15966658
0.700792859,4.04508497,1.47438385
0.708941613,4.45503262,1.75279811
0.717090367,4.75528258,1.9880522
0.725239121,4.9384417,2.17435164
0.733387876,5.0,2.30711333
0.74153663,4.9384417,2.38306489
0.749685384,4.75528258,2.40033772
0.757834138,4.45503262,2.35850701
0.765982892,4.04508497,2.25860122
0.774131646,3.53553391,2.10308133
0.782280401,2.93892626,1.89577759
0.790429155,2.2699525,1.64179308
0.798577909,1.54508497,1.34738233
0.806726663,0.782172325,1.01979447
0.814875417,-7.68745419e-14,0.667095985
0.823024171,-0.782172325,0.29797082
0.831172926,-1.54508497,-0.0784914894
0.83932168,-2.2699525,-0.453020369
0.847470434,-2.93892626,-0.816394332
0.855619188,-3.53553391,-1.15966635
0.863767942,-4.04508497,-1.47438476
0.871916697,-4.45503262,-1.75279677
0.880065451,-4.75528258,-1.98805487
0.888214205,-4.9384417,-2.17436388
0.896362959,-5.0,-2.30712061
0.904511713,-4.9384417,-2.3830715
0.912660467,-4.75528258,-2.40034169
0.920809222,-4.45503262,-2.35850875
0.928957976,-4.04508497,-2.2586037
0.93710673,-3.53553391,-2.10308313
0.945255484,-2.93892626,-1.89577836
0.953404238,-2.2699525,-1.64179327
0.961552992,-1.54508497,-1.34738251
0.969701747,-0.782172325,-1.01979438
0.977850501,1.02907591e-13,-0.667096827
0.985999255,0.782172325,-0.297974392
0.994148009,1.54508497,0.078486797
1.00229676,2.2699525,0.453017756
1.01044552,2.93892626,0.816393344
1.01859427,3.53553391,1.15966691
1.02674303,4.04508497,1.47438342
1.03489178,4.45503262,1.75279664
1.04304053,4.75528258,1.98804941
1.05118929,4.9384417,2.17434973
1.05933804,5.0,2.307111
1.0674868,4.9384417,2.38306325
1.07563555,4.75528258,2.40033672
1.08378431,4.45503262,2.35850593
1.09193306,4.04508497,2.25860078
1.10008181,3.53553391,2.10308156
1.10823057,2.93892626,1.89577745
1.11637932,2.2699525,1.64179253
1.12452808,1.54508497,1.34738194
1.13267683,0.782172325,1.01979371
1.14082558,-1.37822425e-13,0.667096036
1.14897434,-0.782172325,0.297972762
1.15712309,-1.54508497,-0.078489356
1.16527185,-2.2699525,-0.453019035
1.1734206,-2.93892626,-0.81639337
1.18156936,-3.53553391,-1.15966593
1.18971811,-4.04508497,-1.47438302
1.19786686,-4.45503262,-1.75279701
1.20601562,-4.75528258,-1.98805174
1.21416437,-4.9384417,-2.17435347
1.22231313,-5.0,-2.30711596
1.23046188,-4.9384417,-2.38306952
1.23861063,-4.75528258,-2.40034221
1.24675939,-4.45503262,-2.35850939
1.25490814,-4.04508497,-2.25860196
1.2630569,-3.53553391,-2.10308238
1.27120565,-2.93892626,-1.8957778
1.27935441,-2.2699525,-1.64179341
1.28750316,-1.54508497,-1.34738206
1.29565191,-0.782172325,-1.01979408
1.30380067,1.72737259e-13,-0.667095585
1.31194942,0.782172325,-0.297970598
1.32009818,1.54508497,0.0784909553
1.32824693,2.2699525,0.453020182
1.33639568,2.93892626,0.816394042
1.34454444,3.53553391,1.15966616
1.35269319,4.04508497,1.47438298
1.36084195,4.45503262,1.75279594
1.3689907,4.75528258,1.98804966
1.37713946,4.9384417,2.17435013
1.38528821,5.0,2.30711211
