TIME,Addition_2.s_out.signal[1],SensorVoltage_1.v
0.0,0.0,0.0
0.0156285792,0.782172325,0.14841347
0.0312571585,1.54508497,0.450744933
0.0468857377,2.2699525,0.797569522
0.062514317,2.93892626,1.14437458
0.0781428962,3.53553391,1.46991077
0.0937714755,4.04508497,1.76169019
0.109400055,4.45503262,2.01095363
0.125028634,4.75528258,2.21100818
0.140657213,4.9384417,2.35672743
0.156285792,5.0,2.44445151
0.171914372,4.9384417,2.47200015
0.187542951,4.75528258,2.43868256
0.20317153,4.45503262,2.3453203
0.218800109,4.04508497,2.19420893
0.234428689,3.53553391,1.98906884
0.250057268,2.93892626,1.73495105
0.265685847,2.2699525,1.43811373
0.281314426,1.54508497,1.10586479
0.296943006,0.782172325,0.746385862
0.312571585,-8.269481020000001e-15,0.368528443
0.328200164,-0.782172325,-0.0184029087
0.343828743,-1.54508497,-0.404882609
0.359457323,-2.2699525,-0.781393398
0.375085902,-2.93892626,-1.13866165
0.390714481,-3.53553391,-1.46789326
0.40634306,-4.04508497,-1.76098046
0.42197164,-4.45503262,-2.01070558
0.437600219,-4.75528258,-2.21092157
0.453228798,-4.9384417,-2.35669797
0.468857377,-5.0,-2.4444427
0.484485957,-4.9384417,-2.47199658
0.500114536,-4.75528258,-2.43868187
0.515743115,-4.45503262,-2.34531909
0.531371694,-4.04508497,-2.19420858
0.547000274,-3.53553391,-1.98906819
0.562628853,-2.93892626,-1.73495286
0.578257432,-2.2699525,-1.43811433
0.593886011,-1.54508497,-1.10586482
0.609514591,-0.782172325,-0.746387397
0.62514317,-1.22460635e-15,-0.368530002
0.640771749,0.782172325,0.0184016549
0.656400328,1.54508497,0.404881708
0.672028908,2.2699525,0.781391505
0.687657487,2.93892626,1.13866068
0.703286066,3.53553391,1.46789171
0.718914645,4.04508497,1.76097902
0.734543225,4.45503262,2.01070606
0.750171804,4.75528258,2.21091994
0.765800383,4.9384417,2.35669488
0.781428962,5.0,2.44444017
0.797057542,4.9384417,2.47199572
0.812686121,4.75528258,2.43868219
0.8283147,4.45503262,2.34532023
0.843943279,4.04508497,2.19420873
0.859571859,3.53553391,1.98906887
0.875200438,2.93892626,1.7349511
0.890829017,2.2699525,1.43811349
0.906457596,1.54508497,1.10586451
0.922086176,0.782172325,0.746385041
0.937714755,4.62458305e-14,0.368529213
0.953343334,-0.782172325,-0.0184027918
0.968971913,-1.54508497,-0.40488216
0.984600493,-2.2699525,-0.781392171
1.00022907,-2.93892626,-1.13866197
1.01585765,-3.53553391,-1.46789373
1.03148623,-4.04508497,-1.76097984
1.04711481,-4.45503262,-2.01070391
1.06274339,-4.75528258,-2.2109233
1.07837197,-4.9384417,-2.35670408
1.09400055,-5.0,-2.4444386
1.10962913,-4.9384417,-2.47199104
1.12525771,-4.75528258,-2.43868226
1.14088629,-4.45503262,-2.34532584
1.15651486,-4.04508497,-2.1942131
1.17214344,-3.53553391,-1.98907419
1.18777202,-2.93892626,-1.73495408
1.2034006,-2.2699525,-1.43811771
1.21902918,-1.54508497,-1.10586972
1.23465776,-0.782172325,-0.746388569
1.25028634,6.432571490000001e-15,-0.368530298
1.26591492,0.782172325,0.0184024834
1.2815435,1.54508497,0.404882128
1.29717208,2.2699525,0.781391811
1.31280066,2.93892626,1.13865998
1.32842924,3.53553391,1.46789118
1.34405782,4.04508497,1.76098022
1.35968639,4.45503262,2.01070187
1.37531497,4.75528258,2.21092024
1.39094355,4.9384417,2.35669462
1.40657213,5.0,2.44444037
1.42220071,4.9384417,2.47199564
1.43782929,4.75528258,2.43868379
1.45345787,4.45503262,2.34532067
1.46908645,4.04508497,2.1942091
1.48471503,3.53553391,1.98906911
1.50034361,2.93892626,1.73495145
1.51597219,2.2699525,1.43811338
1.53160077,1.54508497,1.10586339
1.54722935,0.782172325,0.746385962
1.56285792,-7.68745419e-14,0.368528446
1.5784865,-0.782172325,-0.0184032958
1.59411508,-1.54508497,-0.40488221
1.60974366,-2.2699525,-0.781391454
1.62537224,-2.93892626,-1.13866013
