TIME,Addition_2.s_out.signal[1],SensorVoltage_1.v
0.0,0.0,0.0
0.0328966612,0.782172325,0.30338297
0.0657933225,1.54508497,0.686528531
0.0986899837,2.2699525,1.05385569
0.131586645,2.93892626,1.39524268
0.164483306,3.53553391,1.7022772
0.197379967,4.04508497,1.96739627
0.230276629,4.45503262,2.18406943
0.26317329,4.75528258,2.34696517
0.296069951,4.9384417,2.45207048
0.328966612,5.0,2.49679764
0.361863274,4.9384417,2.48004574
0.394759935,4.75528258,2.40222674
0.427656596,4.45503262,2.26525694
0.460553257,4.04508497,2.07251042
0.493449918,3.53553391,1.82872961
0.52634658,2.93892626,1.53992036
0.559243241,2.2699525,1.21319261
0.592139902,1.54508497,0.856593201
0.625036563,0.782172325,0.478900786
0.657933225,5.05319528e-15,0.0894156389
0.690829886,-0.782172325,-0.30227069
0.723726547,-1.54508497,-0.686514024
0.756623208,-2.2699525,-1.05385336
0.78951987,-2.93892626,-1.395243
0.822416531,-3.53553391,-1.70227691
0.855313192,-4.04508497,-1.96739511
0.888209853,-4.45503262,-2.18406985
0.921106515,-4.75528258,-2.34696652
0.954003176,-4.9384417,-2.45207024
0.986899837,-5.0,-2.49679796
1.0197965,-4.9384417,-2.48004563
1.05269316,-4.75528258,-2.40222677
1.08558982,-4.45503262,-2.26525684
1.11848648,-4.04508497,-2.07250872
1.15138314,-3.53553391,-1.82872877
1.1842798,-2.93892626,-1.53991956
1.21717647,-2.2699525,-1.21319226
1.25007313,-1.54508497,-0.856592092
1.28296979,-0.782172325,-0.478899819
1.31586645,-3.2310851e-14,-0.0894155942
1.34876311,0.782172325,0.302270704
1.38165977,1.54508497,0.686513937
1.41455643,2.2699525,1.05385292
1.44745309,2.93892626,1.39524232
1.48034976,3.53553391,1.70227748
1.51324642,4.04508497,1.96739505
1.54614308,4.45503262,2.18406914
1.57903974,4.75528258,2.34696464
1.6119364,4.9384417,2.45207053
1.64483306,5.0,2.49679786
1.67772972,4.9384417,2.48004583
1.71062638,4.75528258,2.40222671
1.74352305,4.45503262,2.26525684
1.77641971,4.04508497,2.07250865
1.80931637,3.53553391,1.82872865
1.84221303,2.93892626,1.53991952
1.87510969,2.2699525,1.21319217
1.90800635,1.54508497,0.856591904
1.94090301,0.782172325,0.4788999
1.97379967,6.40093989e-14,0.0894154721
2.00669634,-0.782172325,-0.302270654
2.039593,-1.54508497,-0.686514059
2.07248966,-2.2699525,-1.05385334
2.10538632,-2.93892626,-1.39524242
2.13828298,-3.53553391,-1.70227644
2.17117964,-4.04508497,-1.96739482
2.2040763,-4.45503262,-2.1840695
2.23697296,-4.75528258,-2.34696502
2.26986963,-4.9384417,-2.45207049
2.30276629,-5.0,-2.49679798
2.33566295,-4.9384417,-2.48004578
2.36855961,-4.75528258,-2.40222673
2.40145627,-4.45503262,-2.26525808
2.43435293,-4.04508497,-2.07250933
2.46724959,-3.53553391,-1.8287291
2.50014625,-2.93892626,-1.53991957
2.53304291,-2.2699525,-1.21319227
2.56593958,-1.54508497,-0.856592226
2.59883624,-0.782172325,-0.478899619
2.6317329,-9.12670547e-14,-0.0894153478
2.66462956,0.782172325,0.302270805
2.69752622,1.54508497,0.686514261
2.73042288,2.2699525,1.05385288
2.76331954,2.93892626,1.3952431
2.7962162,3.53553391,1.70227698
2.82911287,4.04508497,1.96739494
2.86200953,4.45503262,2.18406955
2.89490619,4.75528258,2.34696516
2.92780285,4.9384417,2.45207061
2.96069951,5.0,2.49679784
2.99359617,4.9384417,2.48004567
3.02649283,4.75528258,2.40222671
3.05938949,4.45503262,2.26525691
3.09228616,4.04508497,2.07250886
3.12518282,3.53553391,1.82872892
3.15807948,2.93892626,1.53991959
3.19097614,2.2699525,1.21319225
3.2238728,1.54508497,0.856592304
3.25676946,0.782172325,0.478900516
3.28966612,1.1852471e-13,0.0894155398
3.32256278,-0.782172325,-0.3022707
3.35545945,-1.54508497,-0.686514011
3.38835611,-2.2699525,-1.05385326
3.42125277,-2.93892626,-1.39524259
3.45414943,-3.53553391,-1.70227641
3.48704609,-4.04508497,-1.96739479
3.51994275,-4.45503262,-2.18406957
3.55283941,-4.75528258,-2.34696693
3.58573607,-4.9384417,-2.4520711
3.61863274,-5.0,-2.49679773
3.6515294,-4.9384417,-2.48004612
3.68442606,-4.75528258,-2.4022275
3.71732272,-4.45503262,-2.2652579
3.75021938,-4.04508497,-2.07251043
3.78311604,-3.53553391,-1.82872963
3.8160127,-2.93892626,-1.53992032
3.84890936,-2.2699525,-1.21319283
3.88180603,-1.54508497,-0.856592608
3.91470269,-0.782172325,-0.478900334
3.94759935,-1.45782366e-13,-0.0894156366
3.98049601,0.782172325,0.302270642
4.01339267,1.54508497,0.686513842
4.04628933,2.2699525,1.05385276
4.07918599,2.93892626,1.3952424
4.11208265,3.53553391,1.70227639
4.14497932,4.04508497,1.96739511
4.17787598,4.45503262,2.18406974
4.21077264,4.75528258,2.34696511
4.2436693,4.9384417,2.45207047
4.27656596,5.0,2.49679793
4.30946262,4.9384417,2.48004578
4.34235928,4.75528258,2.40222673
4.37525594,4.45503262,2.2652569
4.40815261,4.04508497,2.07250895
4.44104927,3.53553391,1.82872867
4.47394593,2.93892626,1.53991952
4.50684259,2.2699525,1.21319216
4.53973925,1.54508497,0.856592055
4.57263591,0.782172325,0.478899667
4.60553257,1.64158238e-13,0.0894156075
4.63842923,-0.782172325,-0.302270655
4.6713259,-1.54508497,-0.686514178
4.70422256,-2.2699525,-1.05385291
4.73711922,-2.93892626,-1.39524233
4.77001588,-3.53553391,-1.70227652
4.80291254,-4.04508497,-1.9673949
4.8358092,-4.45503262,-2.18406943
4.86870586,-4.75528258,-2.34696485
4.90160252,-4.9384417,-2.45207057
4.93449918,-5.0,-2.49679789
4.96739585,-4.9384417,-2.48004583
5.00029251,-4.75528258,-2.40222663
5.03318917,-4.45503262,-2.26525694
5.06608583,-4.04508497,-2.0725087
5.09898249,-3.53553391,-1.82872879
5.13187915,-2.93892626,-1.53992032
5.16477581,-2.2699525,-1.21319249
5.19767247,-1.54508497,-0.85659213
5.23056914,-0.782172325,-0.478899977
5.2634658,-2.00297678e-13,-0.0894157123
5.29636246,0.782172325,0.302270624
5.32925912,1.54508497,0.686514037
5.36215578,2.2699525,1.0538529
5.39505244,2.93892626,1.39524232
5.4279491,3.53553391,1.70227641
5.46084576,4.04508497,1.96739543
5.49374243,4.45503262,2.18406982
5.52663909,4.75528258,2.34696659
5.55953575,4.9384417,2.45207041
5.59243241,5.0,2.49679957
5.62532907,4.9384417,2.48004728
5.65822573,4.75528258,2.40223015
5.69112239,4.45503262,2.26525751
5.72401905,4.04508497,2.0725097
5.75691572,3.53553391,1.82872989
5.78981238,2.93892626,1.53992045
5.82270904,2.2699525,1.21319273
5.8556057,1.54508497,0.856592342
5.88850236,0.782172325,0.478899851
5.92139902,2.18673549e-13,0.0894156648
5.95429568,-0.782172325,-0.302270669
5.98719234,-1.54508497,-0.686513887
6.02008901,-2.2699525,-1.05385291
6.05298567,-2.93892626,-1.39524248
6.08588233,-3.53553391,-1.70227657
6.11877899,-4.04508497,-1.9673949
6.15167565,-4.45503262,-2.18406939
6.18457231,-4.75528258,-2.34696355
6.21746897,-4.9384417,-2.45207046
6.25036563,-5.0,-2.49679782
6.2832623,-4.9384417,-2.48004659
6.31615896,-4.75528258,-2.40222765
6.34905562,-4.45503262,-2.26525763
6.38195228,-4.04508497,-2.07250952
6.41484894,-3.53553391,-1.82872919
6.4477456,-2.93892626,-1.53992023
6.48064226,-2.2699525,-1.21319296
6.51353892,-1.54508497,-0.85659247
6.54643559,-0.782172325,-0.478900325
6.57933225,-2.54812989e-13,-0.0894155735
6.61222891,0.782172325,0.302270678
6.64512557,1.54508497,0.686513866
6.67802223,2.2699525,1.05385265
6.71091889,2.93892626,1.39524242
6.74381555,3.53553391,1.70227647
6.77671221,4.04508497,1.96739479
6.80960888,4.45503262,2.18406936
6.84250554,4.75528258,2.34696496
6.8754022,4.9384417,2.45207046
6.90829886,5.0,2.49679785
6.94119552,4.9384417,2.4800458
6.97409218,4.75528258,2.40222677
7.00698884,4.45503262,2.26525694
7.0398855,4.04508497,2.07250894
7.07278217,3.53553391,1.82872992
7.10567883,2.93892626,1.53992043
7.13857549,2.2699525,1.21319271
7.17147215,1.54508497,0.856592196
7.20436881,0.782172325,0.47889965
7.23726547,2.73188861e-13,0.0894153367
7.27016213,-0.782172325,-0.302270709
7.30305879,-1.54508497,-0.686513793
7.33595545,-2.2699525,-1.0538529
7.36885212,-2.93892626,-1.3952423
7.40174878,-3.53553391,-1.70227641
7.43464544,-4.04508497,-1.96739479
7.4675421,-4.45503262,-2.18406941
7.50043876,-4.75528258,-2.346965
7.53333542,-4.9384417,-2.45207062
7.56623208,-5.0,-2.49679787
7.59912874,-4.9384417,-2.48004583
7.63202541,-4.75528258,-2.40222669
7.66492207,-4.45503262,-2.26525677
7.69781873,-4.04508497,-2.07250871
7.73071539,-3.53553391,-1.82872936
7.76361205,-2.93892626,-1.53992046
7.79650871,-2.2699525,-1.21319289
7.82940537,-1.54508497,-0.856592459
7.86230203,-0.782172325,-0.478900115
7.8951987,-2.91564732e-13,-0.089415626
7.92809536,0.782172325,0.302270715
7.96099202,1.54508497,0.686514128
7.99388868,2.2699525,1.05385351
8.02678534,2.93892626,1.39524249
8.059682,3.53553391,1.70227701
8.09257866,4.04508497,1.96739476
8.12547532,4.45503262,2.18406957
8.15837199,4.75528258,2.34696505
8.19126865,4.9384417,2.45207052
8.22416531,5.0,2.49679807
8.25706197,4.9384417,2.48004581
8.28995863,4.75528258,2.40222655
8.32285529,4.45503262,2.26525676
8.35575195,4.04508497,2.07250891
8.38864861,3.53553391,1.82872896
8.42154528,2.93892626,1.53991963
8.45444194,2.2699525,1.21319227
8.4873386,1.54508497,0.856591536
8.52023526,0.782172325,0.478899239
8.55313192,3.09940604e-13,0.0894153193
8.58602858,-0.782172325,-0.302270652
8.61892524,-1.54508497,-0.686514226
8.6518219,-2.2699525,-1.05385303
8.68471857,-2.93892626,-1.39524263
8.71761523,-3.53553391,-1.70227751
8.75051189,-4.04508497,-1.96739686
8.78340855,-4.45503262,-2.18406987
8.81630521,-4.75528258,-2.34696636
8.84920187,-4.9384417,-2.45207105
8.88209853,-5.0,-2.49679936
8.91499519,-4.9384417,-2.48004787
8.94789186,-4.75528258,-2.402229
8.98078852,-4.45503262,-2.26525707
9.01368518,-4.04508497,-2.07250853
9.04658184,-3.53553391,-1.82872888
9.0794785,-2.93892626,-1.53991951
9.11237516,-2.2699525,-1.21319223
9.14527182,-1.54508497,-0.85659211
9.17816848,-0.782172325,-0.478899911
9.21106515,-3.28316476e-13,-0.0894153716
9.24396181,0.782172325,0.302270686
9.27685847,1.54508497,0.686513916
9.30975513,2.2699525,1.05385304
9.34265179,2.93892626,1.39524278
9.37554845,3.53553391,1.70227659
9.40844511,4.04508497,1.96739483
9.44134177,4.45503262,2.18406972
9.47423844,4.75528258,2.346965
9.5071351,4.9384417,2.4520705
9.54003176,5.0,2.49679787
9.57292842,4.9384417,2.4800458
9.60582508,4.75528258,2.40222675
9.63872174,4.45503262,2.26525682
9.6716184,4.04508497,2.07250891
9.70451506,3.53553391,1.82872894
9.73741172,2.93892626,1.53991953
9.77030839,2.2699525,1.21319227
9.80320505,1.54508497,0.856592075
9.83610171,0.782172325,0.478899685
9.86899837,3.82219484e-13,0.0894153413
9.90189503,-0.782172325,-0.302270719
9.93479169,-1.54508497,-0.68651387
9.96768835,-2.2699525,-1.0538528
10.000585,-2.93892626,-1.3952424
10.0334817,-3.53553391,-1.70227648
10.0663783,-4.04508497,-1.96739541
10.099275,-4.45503262,-2.18406971
10.1321717,-4.75528258,-2.3469653
10.1650683,-4.9384417,-2.45207043
10.197965,-5.0,-2.49679799
10.2308616,-4.9384417,-2.48004623
10.2637583,-4.75528258,-2.40222836
10.296655,-4.45503262,-2.26525746
10.3295516,-4.04508497,-2.07250895
10.3624483,-3.53553391,-1.82872944
10.3953449,-2.93892626,-1.53992036
10.4282416,-2.2699525,-1.21319324
10.4611383,-1.54508497,-0.856592353
10.4940349,-0.782172325,-0.478900051
10.5269316,-4.00595355e-13,-0.0894155698
10.5598283,0.782172325,0.302270698
10.5927249,1.54508497,0.686514067
10.6256216,2.2699525,1.053853
10.6585182,2.93892626,1.39524327
10.6914149,3.53553391,1.70227817
10.7243116,4.04508497,1.96739534
10.7572082,4.45503262,2.18406947
10.7901049,4.75528258,2.3469651
10.8230015,4.9384417,2.45207048
10.8558982,5.0,2.4967977
10.8887949,4.9384417,2.48004577
10.9216915,4.75528258,2.40222675
10.9545882,4.45503262,2.26525695
10.9874849,4.04508497,2.07250895
11.0203815,3.53553391,1.82872882
11.0532782,2.93892626,1.53991954
11.0861748,2.2699525,1.21319203
11.1190715,1.54508497,0.85659204
11.1519682,0.782172325,0.478899774
11.1848648,4.18971227e-13,0.0894154224
11.2177615,-0.782172325,-0.302270637
11.2506581,-1.54508497,-0.68651409
11.2835548,-2.2699525,-1.05385335
11.3164515,-2.93892626,-1.39524296
11.3493481,-3.53553391,-1.70227675
11.3822448,-4.04508497,-1.96739491
11.4151414,-4.45503262,-2.18406945
11.4480381,-4.75528258,-2.34696505
11.4809348,-4.9384417,-2.4520705
11.5138314,-5.0,-2.496798
11.5467281,-4.9384417,-2.48004581
11.5796248,-4.75528258,-2.40222679
11.6125214,-4.45503262,-2.26525687
11.6454181,-4.04508497,-2.07250894
11.6783147,-3.53553391,-1.82872865
11.7112114,-2.93892626,-1.53991954
11.7441081,-2.2699525,-1.21319223
11.7770047,-1.54508497,-0.856592399
11.8099014,-0.782172325,-0.478900071
11.842798,-4.37347099e-13,-0.0894156707
11.8756947,0.782172325,0.3022707
11.9085914,1.54508497,0.68651431
11.941488,2.2699525,1.0538532
11.9743847,2.93892626,1.39524279
12.0072814,3.53553391,1.70227749
12.040178,4.04508497,1.96739587
12.0730747,4.45503262,2.18407003
12.1059713,4.75528258,2.34696536
12.138868,4.9384417,2.45207245
12.1717647,5.0,2.49679877
12.2046613,4.9384417,2.4800468
12.237558,4.75528258,2.40222831
12.2704546,4.45503262,2.26525785
12.3033513,4.04508497,2.07250901
12.336248,3.53553391,1.8287294
12.3691446,2.93892626,1.53992045
12.4020413,2.2699525,1.21319334
12.4349379,1.54508497,0.856592751
12.4678346,0.782172325,0.47890021
12.5007313,4.91250107e-13,0.0894155922
12.5336279,-0.782172325,-0.302270702
12.5665246,-1.54508497,-0.686514087
12.5994213,-2.2699525,-1.05385325
12.6323179,-2.93892626,-1.39524261
12.6652146,-3.53553391,-1.70227653
12.6981112,-4.04508497,-1.96739453
12.7310079,-4.45503262,-2.18406965
