TIME,Addition_2.s_out.signal[1],SensorVoltage_1.v
0.0,0.0,0.0
0.0396241449,0.782172325,0.317766646
0.0792482898,1.54508497,0.70123174
0.118872435,2.2699525,1.06780484
0.15849658,2.93892626,1.40808483
0.198120725,3.53553391,1.71369416
0.23774487,4.04508497,1.97710573
0.277369014,4.45503262,2.19183436
0.316993159,4.75528258,2.35259314
0.356617304,4.9384417,2.45542373
0.396241449,5.0,2.49779164
0.435865594,4.9384417,2.47866012
0.475489739,4.75528258,2.39849191
0.515113884,4.45503262,2.25926519
0.554738029,4.04508497,2.06440827
0.594362174,3.53553391,1.81871865
0.633986319,2.93892626,1.52824692
0.673610464,2.2699525,1.20014384
0.713234609,1.54508497,0.84248961
0.752858753,0.782172325,0.464090524
0.792482898,-3.82858892e-15,0.0742639145
0.832107043,-0.782172325,-0.317391303
0.871731188,-1.54508497,-0.701231495
0.911355333,-2.2699525,-1.06780483
0.950979478,-2.93892626,-1.40808477
0.990603623,-3.53553391,-1.7136943
1.03022777,-4.04508497,-1.97710535
1.06985191,-4.45503262,-2.19183396
1.10947606,-4.75528258,-2.35259254
1.1491002,-4.9384417,-2.4554225
1.18872435,-5.0,-2.49779211
1.22834849,-4.9384417,-2.47865747
1.26797264,-4.75528258,-2.39849013
1.30759678,-4.45503262,-2.25926391
1.34722093,-4.04508497,-2.0644076
1.38684507,-3.53553391,-1.81871817
1.42646922,-2.93892626,-1.52824573
1.46609336,-2.2699525,-1.20014339
1.50571751,-1.54508497,-0.842489041
1.54534165,-0.782172325,-0.464090448
1.5849658,-2.34290668e-14,-0.0742638659
1.62458994,0.782172325,0.317391808
1.66421409,1.54508497,0.70123142
1.70383823,2.2699525,1.06780444
1.74346238,2.93892626,1.40808491
1.78308652,3.53553391,1.71369386
1.82271067,4.04508497,1.97710529
1.86233481,4.45503262,2.19183389
1.90195896,4.75528258,2.35259296
1.9415831,4.9384417,2.45542271
1.98120725,5.0,2.49779202
2.02083139,4.9384417,2.47865746
2.06045554,4.75528258,2.39849007
2.10007968,4.45503262,2.25926467
2.13970383,4.04508497,2.06440779
2.17932797,3.53553391,1.81871832
2.21895212,2.93892626,1.52824594
2.25857626,2.2699525,1.20014417
2.29820041,1.54508497,0.842489481
2.33782455,0.782172325,0.464090128
2.3774487,1.96004779e-14,0.0742638366
2.41707284,-0.782172325,-0.317391271
2.45669698,-1.54508497,-0.70123114
2.49632113,-2.2699525,-1.06780436
2.53594527,-2.93892626,-1.40808474
2.57556942,-3.53553391,-1.71369329
2.61519356,-4.04508497,-1.977105
2.65481771,-4.45503262,-2.19183391
2.69444185,-4.75528258,-2.35259266
2.734066,-4.9384417,-2.45542267
2.77369014,-5.0,-2.49779217
2.81331429,-4.9384417,-2.47865749
2.85293843,-4.75528258,-2.39849001
2.89256258,-4.45503262,-2.2592639
2.93218672,-4.04508497,-2.06440716
2.97181087,-3.53553391,-1.8187184
3.01143501,-2.93892626,-1.52824637
3.05105916,-2.2699525,-1.20014352
3.0906833,-1.54508497,-0.842489626
3.13030745,-0.782172325,-0.464090479
3.16993159,3.30779241e-14,-0.0742640525
3.20955574,0.782172325,0.317391277
3.24917988,1.54508497,0.701231252
3.28880403,2.2699525,1.06780469
3.32842817,2.93892626,1.40808498
3.36805232,3.53553391,1.71369444
3.40767646,4.04508497,1.9771054
3.44730061,4.45503262,2.19183482
3.48692475,4.75528258,2.35259462
3.5265489,4.9384417,2.45542327
3.56617304,5.0,2.49779201
3.60579719,4.9384417,2.47865921
3.64542133,4.75528258,2.39849419
3.68504548,4.45503262,2.25926848
3.72466962,4.04508497,2.06440778
3.76429377,3.53553391,1.81871902
3.80391791,2.93892626,1.52824597
3.84354206,2.2699525,1.20014289
3.8831662,1.54508497,0.842489015
3.92279035,0.782172325,0.464091105
3.96241449,-7.68745419e-14,0.0742639531
4.00203864,-0.782172325,-0.317391367
4.04166278,-1.54508497,-0.701231349
4.08128693,-2.2699525,-1.06780459
4.12091107,-2.93892626,-1.40808469
4.16053522,-3.53553391,-1.71369328
4.20015936,-4.04508497,-1.97710501
4.23978351,-4.45503262,-2.19183373
4.27940765,-4.75528258,-2.35259257
4.3190318,-4.9384417,-2.45542272
4.35865594,-5.0,-2.49779209
4.39828009,-4.9384417,-2.47865746
4.43790423,-4.75528258,-2.39849012
4.47752838,-4.45503262,-2.25926395
4.51715252,-4.04508497,-2.0644071
4.55677667,-3.53553391,-1.8187179
4.59640081,-2.93892626,-1.52824596
4.63602496,-2.2699525,-1.20014331
4.6756491,-1.54508497,-0.842489223
4.71527325,-0.782172325,-0.46409015
4.75489739,-3.92009558e-14,-0.0742637748
4.79452154,0.782172325,0.317391244
4.83414568,1.54508497,0.701231246
4.87376982,2.2699525,1.06780456
4.91339397,2.93892626,1.40808538
4.95301811,3.53553391,1.71369356
4.99264226,4.04508497,1.97710536
5.0322664,4.45503262,2.19183432
5.07189055,4.75528258,2.35259269
5.11151469,4.9384417,2.45542259
5.15113884,5.0,2.4977921
5.19076298,4.9384417,2.47865747
5.23038713,4.75528258,2.39849012
5.27001127,4.45503262,2.25926401
5.30963542,4.04508497,2.06440721
5.34925956,3.53553391,1.818718
5.38888371,2.93892626,1.52824669
5.42850785,2.2699525,1.20014384
5.468132,1.54508497,0.842489276
5.50775614,0.782172325,0.464090224
5.54738029,1.64158238e-13,0.074263825
5.58700443,-0.782172325,-0.317391318
5.62662858,-1.54508497,-0.701231072
5.66625272,-2.2699525,-1.06780483
5.70587687,-2.93892626,-1.40808483
5.74550101,-3.53553391,-1.71369345
5.78512516,-4.04508497,-1.97710544
5.8247493,-4.45503262,-2.19183506
5.86437345,-4.75528258,-2.35259234
5.90399759,-4.9384417,-2.45542331
5.94362174,-5.0,-2.49779202
5.98324588,-4.9384417,-2.4786582
6.02287003,-4.75528258,-2.39849067
6.06249417,-4.45503262,-2.25926382
6.10211832,-4.04508497,-2.06440716
6.14174246,-3.53553391,-1.81871855
6.18136661,-2.93892626,-1.52824606
6.22099075,-2.2699525,-1.20014387
6.2606149,-1.54508497,-0.842489402
6.30023904,-0.782172325,-0.464090288
6.33986319,-2.8911552e-13,-0.0742639288
6.37948733,0.782172325,0.317391343
6.41911148,1.54508497,0.701231488
6.45873562,2.2699525,1.06780458
6.49835977,2.93892626,1.40808511
6.53798391,3.53553391,1.71369345
6.57760806,4.04508497,1.977105
6.6172322,4.45503262,2.19183388
6.65685635,4.75528258,2.35259257
6.69648049,4.9384417,2.45542263
6.73610464,5.0,2.49779209
6.77572878,4.9384417,2.47865746
6.81535293,4.75528258,2.39849013
6.85497707,4.45503262,2.25926405
6.89460122,4.04508497,2.06440736
6.93422536,3.53553391,1.81871814
6.97384951,2.93892626,1.52824602
7.01347365,2.2699525,1.20014326
7.0530978,1.54508497,0.842489198
7.09272194,0.782172325,0.464090434
7.13234609,4.14072802e-13,0.0742638501
7.17197023,-0.782172325,-0.317391299
7.21159438,-1.54508497,-0.701231432
7.25121852,-2.2699525,-1.0678046
7.29084266,-2.93892626,-1.40808501
7.33046681,-3.53553391,-1.71369424
7.37009095,-4.04508497,-1.97710571
7.4097151,-4.45503262,-2.1918347
7.44933924,-4.75528258,-2.35259246
7.48896339,-4.9384417,-2.4554232
7.52858753,-5.0,-2.49779293
7.56821168,-4.9384417,-2.47865778
7.60783582,-4.75528258,-2.39849016
7.64745997,-4.45503262,-2.2592639
7.68708411,-4.04508497,-2.06440711
7.72670826,-3.53553391,-1.81871804
7.7663324,-2.93892626,-1.52824594
7.80595655,-2.2699525,-1.20014338
7.84558069,-1.54508497,-0.842489305
7.88520484,-0.782172325,-0.464090304
7.92482898,-5.39030084e-13,-0.0742638278
7.96445313,0.782172325,0.317391331
8.00407727,1.54508497,0.701231172
8.04370142,2.2699525,1.06780477
8.08332556,2.93892626,1.40808493
8.12294971,3.53553391,1.71369372
8.16257385,4.04508497,1.97710536
8.202198,4.45503262,2.19183391
8.24182214,4.75528258,2.35259261
8.28144629,4.9384417,2.4554227
8.32107043,5.0,2.49779203
8.36069458,4.9384417,2.47865743
8.40031872,4.75528258,2.39849017
8.43994287,4.45503262,2.25926395
8.47956701,4.04508497,2.06440696
8.51919116,3.53553391,1.81871806
8.5588153,2.93892626,1.52824629
8.59843945,2.2699525,1.20014341
8.63806359,1.54508497,0.842489428
8.67768774,0.782172325,0.464090303
8.71731188,3.44243134e-13,0.0742639971
8.75693603,-0.782172325,-0.317391257
8.79656017,-1.54508497,-0.701231085
8.83618432,-2.2699525,-1.06780434
8.87580846,-2.93892626,-1.40808467
