TIME,Addition_2.s_out.signal[1],SensorVoltage_1.v
0.0,0.0,0.0
0.0237540508,0.782172325,0.273172415
0.0475081016,1.54508497,0.65323474
0.0712621524,2.2699525,1.02199988
0.0950162032,2.93892626,1.3657954
0.118770254,3.53553391,1.67597359
0.142524305,4.04508497,1.94488044
0.166278356,4.45503262,2.16589871
0.190032406,4.75528258,2.33358656
0.213786457,4.9384417,2.44381603
0.237540508,5.0,2.49386677
0.261294559,4.9384417,2.48251262
0.28504861,4.75528258,2.41003201
0.308802661,4.45503262,2.27820263
0.332556711,4.04508497,2.09028397
0.356310762,3.53553391,1.85088851
0.380064813,2.93892626,1.56592169
0.403818864,2.2699525,1.24239577
0.427572915,1.54508497,0.888278076
0.451326965,0.782172325,0.512288542
0.475081016,-1.6081428700000002e-15,0.123684815
0.498835067,-0.782172325,-0.267964493
0.522589118,-1.54508497,-0.653015625
0.546343169,-2.2699525,-1.0219873
0.570097219,-2.93892626,-1.36579449
0.59385127,-3.53553391,-1.675971
0.617605321,-4.04508497,-1.94487967
0.641359372,-4.45503262,-2.1658994
0.665113423,-4.75528258,-2.33358717
0.688867474,-4.9384417,-2.4438136
0.712621524,-5.0,-2.49386584
0.736375575,-4.9384417,-2.48251057
0.760129626,-4.75528258,-2.41002807
0.783883677,-4.45503262,-2.27820185
0.807637728,-4.04508497,-2.09027982
0.831391778,-3.53553391,-1.85088733
0.855145829,-2.93892626,-1.56592039
0.87889988,-2.2699525,-1.24239535
0.902653931,-1.54508497,-0.888278203
0.926407982,-0.782172325,-0.512288488
0.950162032,-2.78699589e-14,-0.123685002
0.973916083,0.782172325,0.267964572
0.997670134,1.54508497,0.653015869
1.02142418,2.2699525,1.02198752
1.04517824,2.93892626,1.36579457
1.06893229,3.53553391,1.67597099
1.09268634,4.04508497,1.94487991
1.11644039,4.45503262,2.16589947
1.14019444,4.75528258,2.33358704
1.16394849,4.9384417,2.44381296
1.18770254,5.0,2.49386591
1.21145659,4.9384417,2.48251058
1.23521064,4.75528258,2.41002795
1.25896469,4.45503262,2.27820227
1.28271874,4.04508497,2.09027987
1.30647279,3.53553391,1.85088774
1.33022685,2.93892626,1.56592069
1.3539809,2.2699525,1.24239538
1.37773495,1.54508497,0.888278185
1.401489,0.782172325,0.512288656
1.42524305,6.40093989e-14,0.123684794
1.4489971,-0.782172325,-0.267964519
1.47275115,-1.54508497,-0.653015586
1.4965052,-2.2699525,-1.02198734
1.52025925,-2.93892626,-1.36579434
1.5440133,-3.53553391,-1.67597096
1.56776735,-4.04508497,-1.94487964
1.5915214,-4.45503262,-2.16589892
1.61527546,-4.75528258,-2.33358661
1.63902951,-4.9384417,-2.44381362
1.66278356,-5.0,-2.49386798
1.68653761,-4.9384417,-2.48251222
1.71029166,-4.75528258,-2.41002937
1.73404571,-4.45503262,-2.27820313
1.75779976,-4.04508497,-2.09027994
1.78155381,-3.53553391,-1.85088757
1.80530786,-2.93892626,-1.56592052
1.82906191,-2.2699525,-1.24239511
