TIME,Addition_2.s_out.signal[1],SensorVoltage_1.v
0.0,0.0,0.0
0.020660062,0.782172325,0.258512964
0.041320124,1.54508497,0.635465323
0.061980186,2.2699525,1.00472258
0.082640248,2.93892626,1.3497444
0.10330031,3.53553391,1.66156085
0.123960372,4.04508497,1.93246566
0.144620434,4.45503262,2.15578717
0.165280496,4.75528258,2.32602526
0.185940558,4.9384417,2.43898931
0.20660062,5.0,2.49189731
0.227260682,4.9384417,2.48344648
0.247920744,4.75528258,2.41384518
0.268580806,4.45503262,2.28480663
0.289240868,4.04508497,2.09950861
0.30990093,3.53553391,1.86251405
0.330560992,2.93892626,1.57965795
0.351221054,2.2699525,1.25790552
0.371881116,1.54508497,0.905179192
0.392541178,0.782172325,0.530163629
0.41320124,-3.82858892e-15,0.142095142
0.433861302,-0.782172325,-0.249472794
0.454521364,-1.54508497,-0.634898592
0.475181426,-2.2699525,-1.00469028
0.495841488,-2.93892626,-1.34974419
0.51650155,-3.53553391,-1.66156331
0.537161612,-4.04508497,-1.93246624
0.557821674,-4.45503262,-2.15578695
0.578481736,-4.75528258,-2.32602546
0.599141798,-4.9384417,-2.43898937
0.61980186,-5.0,-2.49189731
0.640461922,-4.9384417,-2.48344659
0.661121984,-4.75528258,-2.41384495
0.681782046,-4.45503262,-2.2848065
0.702442108,-4.04508497,-2.09950835
0.72310217,-3.53553391,-1.86251342
0.743762232,-2.93892626,-1.57965784
0.764422294,-2.2699525,-1.25790538
0.785082356,-1.54508497,-0.90517887
0.805742418,-0.782172325,-0.530164459
0.82640248,1.6538962e-14,-0.142095108
0.847062542,0.782172325,0.249472798
0.867722604,1.54508497,0.634897983
0.888382666,2.2699525,1.00469027
0.909042728,2.93892626,1.34974362
0.92970279,3.53553391,1.6615627
0.950362852,4.04508497,1.93246776
0.971022914,4.45503262,2.15578823
0.991682976,4.75528258,2.32602787
1.01234304,4.9384417,2.43899222
1.0330031,5.0,2.49189853
1.05366316,4.9384417,2.48344819
1.07432322,4.75528258,2.41385222
1.09498329,4.45503262,2.28481172
1.11564335,4.04508497,2.09951013
1.13630341,3.53553391,1.86251411
1.15696347,2.93892626,1.57965933
1.17762353,2.2699525,1.25790707
1.1982836,1.54508497,0.905179648
1.21894366,0.782172325,0.530164414
1.23960372,-2.48084431e-14,0.14209511
1.26026378,-0.782172325,-0.249472738
1.28092384,-1.54508497,-0.634897863
1.30158391,-2.2699525,-1.00469016
1.32224397,-2.93892626,-1.34974341
1.34290403,-3.53553391,-1.6615615
1.36356409,-4.04508497,-1.93246579
1.38422415,-4.45503262,-2.15578686
1.40488422,-4.75528258,-2.32602532
1.42554428,-4.9384417,-2.43898932
1.44620434,-5.0,-2.49189732
1.4668644,-4.9384417,-2.48344659
1.48752446,-4.75528258,-2.413845
1.50818453,-4.45503262,-2.28480648
1.52884459,-4.04508497,-2.09950852
1.54950465,-3.53553391,-1.86251393
1.57016471,-2.93892626,-1.5796578
1.59082477,-2.2699525,-1.25790544
1.61148484,-1.54508497,-0.905178276
1.6321449,-0.782172325,-0.530163582
1.65280496,4.19597083e-14,-0.142095262
1.67346502,0.782172325,0.249472716
1.69412508,1.54508497,0.634898316
1.71478515,2.2699525,1.00469018
1.73544521,2.93892626,1.34974303
1.75610527,3.53553391,1.66156086
1.77676533,4.04508497,1.93246687
1.79742539,4.45503262,2.15578811
1.81808546,4.75528258,2.32602676
1.83874552,4.9384417,2.43898968
1.85940558,5.0,2.49189732
1.88006564,4.9384417,2.48344949
1.9007257,4.75528258,2.41384708
1.92138577,4.45503262,2.28480912
1.94204583,4.04508497,2.09951143
1.96270589,3.53553391,1.86251504
1.98336595,2.93892626,1.5796596
2.00402601,2.2699525,1.25790643
2.02468608,1.54508497,0.905179926
2.04534614,0.782172325,0.530165429
2.0660062,-1.47020525e-14,0.142095908
2.08666626,-0.782172325,-0.24947276
2.10732632,-1.54508497,-0.634898605
2.12798639,-2.2699525,-1.00469141
2.14864645,-2.93892626,-1.34974299
2.16930651,-3.53553391,-1.66156269
2.18996657,-4.04508497,-1.93246616
2.21062663,-4.45503262,-2.15578686
2.2312867,-4.75528258,-2.32602554
2.25194676,-4.9384417,-2.43899147
2.27260682,-5.0,-2.49189999
2.29326688,-4.9384417,-2.48344834
2.31392694,-4.75528258,-2.41384621
2.33458701,-4.45503262,-2.2848093
2.35524707,-4.04508497,-2.09950956
2.37590713,-3.53553391,-1.86251435
2.39656719,-2.93892626,-1.57965785
2.41722725,-2.2699525,-1.25790563
2.43788732,-1.54508497,-0.905179016
2.45854738,-0.782172325,-0.530164356
2.47920744,-1.28018798e-13,-0.142095713
2.4998675,0.782172325,0.249472737
2.52052756,1.54508497,0.634898336
2.54118763,2.2699525,1.0046901
2.56184769,2.93892626,1.34974308
2.58250775,3.53553391,1.66156053
2.60316781,4.04508497,1.93246559
2.62382787,4.45503262,2.15578713
2.64448794,4.75528258,2.32602468
2.665148,4.9384417,2.43898931
2.68580806,5.0,2.49189749
2.70646812,4.9384417,2.48344665
2.72712818,4.75528258,2.41384522
2.74778825,4.45503262,2.28480708
2.76844831,4.04508497,2.09951004
2.78910837,3.53553391,1.86251521
2.80976843,2.93892626,1.57965871
2.83042849,2.2699525,1.25790557
2.85108856,1.54508497,0.90517917
2.87174862,0.782172325,0.53016444
2.89240868,2.88503217e-13,0.142095192
2.91306874,-0.782172325,-0.249472774
2.9337288,-1.54508497,-0.634898221
2.95438887,-2.2699525,-1.00469
2.97504893,-2.93892626,-1.349743
2.99570899,-3.53553391,-1.66156095
3.01636905,-4.04508497,-1.93246576
3.03702911,-4.45503262,-2.15578707
3.05768918,-4.75528258,-2.32602539
3.07834924,-4.9384417,-2.43898911
3.0990093,-5.0,-2.49189826
3.11966936,-4.9384417,-2.48344654
3.14032942,-4.75528258,-2.41384501
3.16098949,-4.45503262,-2.28480667
3.18164955,-4.04508497,-2.09950854
3.20230961,-3.53553391,-1.8625149
3.22296967,-2.93892626,-1.57965825
3.24362973,-2.2699525,-1.25790573
3.2642898,-1.54508497,-0.905179193
3.28494986,-0.782172325,-0.530163958
3.30560992,-4.48987635e-13,-0.142095289
3.32626998,0.782172325,0.249472898
3.34693004,1.54508497,0.63489785
3.36759011,2.2699525,1.00469019
3.38825017,2.93892626,1.34974303
3.40891023,3.53553391,1.66156093
3.42957029,4.04508497,1.9324657
3.45023035,4.45503262,2.15578705
3.47089042,4.75528258,2.3260254
3.49155048,4.9384417,2.4389894
3.51221054,5.0,2.49189728
3.5328706,4.9384417,2.4834466
3.55353066,4.75528258,2.41384497
3.57419073,4.45503262,2.28480657
3.59485079,4.04508497,2.09950871
3.61551085,3.53553391,1.86251393
3.63617091,2.93892626,1.57965734
3.65683097,2.2699525,1.25790467
3.67749104,1.54508497,0.905179425
3.6981511,0.782172325,0.530165054
3.71881116,6.09472054e-13,0.142095385
3.73947122,-0.782172325,-0.249472806
3.76013128,-1.54508497,-0.634898098
3.78079135,-2.2699525,-1.00469062
3.80145141,-2.93892626,-1.34974386
3.82211147,-3.53553391,-1.6615618
3.84277153,-4.04508497,-1.93246708
3.86343159,-4.45503262,-2.15578701
3.88409166,-4.75528258,-2.3260256
3.90475172,-4.9384417,-2.43898944
3.92541178,-5.0,-2.49189705
3.94607184,-4.9384417,-2.48344798
3.9667319,-4.75528258,-2.41384638
